timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1617177320431,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-25,text,true,,265,333,25,75,2,0,1,2021-03-31 09:55:20.429
1617177323947,4,Ticks,201,,Thread Group - Ticks 1-8,,true,,121,533,25,75,4,0,0,2021-03-31 09:55:00.029
1617177323982,4,Statistics,200,,Thread Group - Statistics 2-8,text,true,,221,323,25,75,4,0,0,2021-03-31 09:55:00.023
1617177324058,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-8,text,true,,264,330,25,75,4,0,0,2021-03-31 09:55:00.141
1617177328144,2,Ticks,204,,Thread Group - Ticks 1-9,,true,,102,533,25,75,0,0,0,2021-03-31 09:55:01.192
1617177328186,3,Statistics,200,,Thread Group - Statistics 2-9,text,true,,220,323,25,75,3,0,0,2021-03-31 09:55:01.192
1617177328247,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-9,text,true,,264,330,25,75,5,0,0,2021-03-31 09:55:01.302
1617177332353,4,Ticks,204,,Thread Group - Ticks 1-10,,true,,102,533,25,75,0,0,0,2021-03-31 09:55:02.458
1617177332389,2,Statistics,200,,Thread Group - Statistics 2-10,text,true,,221,323,25,75,2,0,0,2021-03-31 09:55:02.453
1617177332423,6,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-10,text,true,,264,330,25,75,6,0,0,2021-03-31 09:55:02.455
1617177332968,3,Ticks,201,,Thread Group - Ticks 1-3,,true,,121,533,25,75,3,0,0,2021-03-31 09:55:03.033
1617177332981,3,Statistics,200,,Thread Group - Statistics 2-3,text,true,,221,323,25,75,3,0,0,2021-03-31 09:55:03.022
1617177333024,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,258,330,25,75,3,0,0,2021-03-31 09:55:03.116
1617177333659,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,25,75,2,0,0,2021-03-31 09:55:03.717
1617177336539,4,Ticks,204,,Thread Group - Ticks 1-11,,true,,102,533,25,75,0,0,0,2021-03-31 09:55:03.589
1617177336586,4,Statistics,200,,Thread Group - Statistics 2-11,text,true,,222,323,25,75,4,0,0,2021-03-31 09:55:03.728
