timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1610564395226,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-9,text,true,,258,331,25,75,3,0,2,2021-01-13 19:56:10.254
1610564405380,6,Ticks,204,,Thread Group - Ticks 1-10,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:56:20.413
1610564405402,3,Statistics,200,,Thread Group - Statistics 2-10,text,true,,214,324,25,75,2,0,1,2021-01-13 19:56:20.416
1610564405426,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-10,text,true,,258,331,25,75,2,0,0,2021-01-13 19:56:20.441
1610564415585,6,Ticks,204,,Thread Group - Ticks 1-11,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:56:30.616
1610564415601,4,Statistics,200,,Thread Group - Statistics 2-11,text,true,,214,324,25,75,3,0,1,2021-01-13 19:56:30.614
1610564415628,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-11,text,true,,258,331,25,75,2,0,1,2021-01-13 19:56:30.642
1610564425773,3,Ticks,204,,Thread Group - Ticks 1-12,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,1,2021-01-13 19:56:40.798
1610564425800,2,Statistics,200,,Thread Group - Statistics 2-12,text,true,,214,324,25,75,2,0,0,2021-01-13 19:56:40.814
1610564425825,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-12,text,true,,258,331,25,75,2,0,1,2021-01-13 19:56:40.842
1610564435972,6,Ticks,204,,Thread Group - Ticks 1-13,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:56:51.014
1610564435999,4,Statistics,200,,Thread Group - Statistics 2-13,text,true,,214,324,25,75,3,0,1,2021-01-13 19:56:51.021
1610564436025,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-13,text,true,,258,331,25,75,1,0,0,2021-01-13 19:56:51.037
1610564446168,5,Ticks,204,,Thread Group - Ticks 1-14,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:57:01.203
1610564446198,2,Statistics,200,,Thread Group - Statistics 2-14,text,true,,214,324,25,75,2,0,1,2021-01-13 19:57:01.202
1610564446224,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-14,text,true,,258,331,25,75,2,0,1,2021-01-13 19:57:01.241
1610564456364,5,Ticks,204,,Thread Group - Ticks 1-15,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:57:11.395
1610564456397,4,Statistics,200,,Thread Group - Statistics 2-15,text,true,,214,324,25,75,3,0,1,2021-01-13 19:57:11.413
1610564456424,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-15,text,true,,258,331,25,75,2,0,1,2021-01-13 19:57:11.434
1610564466561,6,Ticks,204,,Thread Group - Ticks 1-16,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:57:21.599
1610564466599,3,Statistics,200,,Thread Group - Statistics 2-16,text,true,,214,324,25,75,3,0,1,2021-01-13 19:57:21.617
1610564466626,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-16,text,true,,258,331,25,75,3,0,1,2021-01-13 19:57:21.637
1610564476758,6,Ticks,204,,Thread Group - Ticks 1-17,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:57:31.771
1610564476797,3,Statistics,200,,Thread Group - Statistics 2-17,text,true,,214,324,25,75,2,0,1,2021-01-13 19:57:31.811
1610564476800,4,Ticks,204,,Thread Group - Ticks 1-2,,false,Test failed: code expected to match /201/,102,455,25,75,0,0,1,2021-01-13 19:57:31.815
1610564476809,4,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,324,25,75,3,0,1,2021-01-13 19:57:31.829
1610564476827,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-17,text,true,,258,331,25,75,1,0,0,2021-01-13 19:57:31.846
1610564476827,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,329,25,75,1,0,0,2021-01-13 19:57:31.846
1610564486960,7,Ticks,204,,Thread Group - Ticks 1-18,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,3,2021-01-13 19:57:41.990
1610564486997,2,Statistics,200,,Thread Group - Statistics 2-18,text,true,,214,324,25,75,2,0,1,2021-01-13 19:57:42.012
1610564487023,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-18,text,true,,258,331,25,75,2,0,1,2021-01-13 19:57:42.035
1610564497164,6,Ticks,204,,Thread Group - Ticks 1-19,,false,Test failed: code expected to match /201/,102,457,25,75,0,0,2,2021-01-13 19:57:52.196
1610564497197,3,Statistics,200,,Thread Group - Statistics 2-19,text,true,,214,324,25,75,2,0,1,2021-01-13 19:57:52.214
